from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:102047,ATB:ServiceJourney:311_241021121642573_31,NSR:Quay:102047,ATB:ServiceJourney:670_241205091486516_4,1
NSR:Quay:80295,ATB:ServiceJourney:681_241205091488480_7002,NSR:Quay:80295,ATB:ServiceJourney:680_241021121641950_7009,1
NSR:Quay:71982,ATB:ServiceJourney:1_240516085577833_6140,NSR:Quay:71982,ATB:ServiceJourney:74_240516085572818_6026,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577324_113,NSR:Quay:72888,ATB:ServiceJourney:82_241107118801435_129,1
NSR:Quay:73032,ATB:ServiceJourney:3_250129115075469_7070,NSR:Quay:73032,ATB:ServiceJourney:42_250303120810128_7035,1
NSR:Quay:72152,ATB:ServiceJourney:422_241205091485657_12,NSR:Quay:72152,ATB:ServiceJourney:5210_250212077045101_8,1
NSR:Quay:74803,ATB:ServiceJourney:310_241021121642930_72,NSR:Quay:74803,ATB:ServiceJourney:470_250315139690047_10,1
NSR:Quay:71209,ATB:ServiceJourney:2_250120154861193_7040,NSR:Quay:71209,ATB:ServiceJourney:40_250204177717163_7015,1
NSR:Quay:72946,ATB:ServiceJourney:2_250131110662434_52,NSR:Quay:72946,ATB:ServiceJourney:77_241111133699212_14,1
NSR:Quay:77589,ATB:ServiceJourney:7703_241205091487954_5,NSR:Quay:77589,ATB:ServiceJourney:7702_241205091487945_11,1
NSR:Quay:74803,ATB:ServiceJourney:310_241021121639156_2,NSR:Quay:74803,ATB:ServiceJourney:460_241205091487844_18,1
NSR:Quay:71982,ATB:ServiceJourney:1_240516085577860_7024,NSR:Quay:71982,ATB:ServiceJourney:74_240516085572824_7006,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658379_6096,NSR:Quay:72946,ATB:ServiceJourney:46_240516085572937_6040,1
NSR:Quay:72888,ATB:ServiceJourney:71_250203085376031_6013,NSR:Quay:72888,ATB:ServiceJourney:82_250203085189899_6016,1
NSR:Quay:71422,ATB:ServiceJourney:340_241021121639276_31,NSR:Quay:73729,ATB:ServiceJourney:311_241021121642577_71,1
NSR:Quay:80251,ATB:ServiceJourney:660_241021121641713_11,NSR:Quay:79493,ATB:ServiceJourney:761_241205091486443_2,1
NSR:Quay:71982,ATB:ServiceJourney:1_240516085577675_48,NSR:Quay:71982,ATB:ServiceJourney:73_240516085572767_10,1
NSR:Quay:75658,ATB:ServiceJourney:1_250113084172070_7015,NSR:Quay:75658,ATB:ServiceJourney:14_250203104167955_7005,1
NSR:Quay:103182,ATB:ServiceJourney:7517_241205091486852_10,NSR:Quay:103182,ATB:ServiceJourney:7502_250212077046065_11,1
NSR:Quay:74982,ATB:ServiceJourney:1_250131110658064_7075,NSR:Quay:74982,ATB:ServiceJourney:41_250131110660675_7032,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577330_6003,NSR:Quay:72888,ATB:ServiceJourney:82_241107118766751_6006,1
NSR:Quay:74648,ATB:ServiceJourney:311_241021121642564_78,NSR:Quay:74648,ATB:ServiceJourney:310_241205091485501_54,1
NSR:Quay:104290,ATB:ServiceJourney:7302_241205091486613_13,NSR:Quay:104290,ATB:ServiceJourney:732_241205091486466_10,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577266_6001,NSR:Quay:72888,ATB:ServiceJourney:82_241107118766734_6004,1
NSR:Quay:74982,ATB:ServiceJourney:1_250131110658066_7079,NSR:Quay:74982,ATB:ServiceJourney:41_250131110660676_7034,1
NSR:Quay:71412,ATB:ServiceJourney:311_241021121642549_54,NSR:Quay:71412,ATB:ServiceJourney:452_241205091488548_9,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577283_7035,NSR:Quay:72888,ATB:ServiceJourney:82_241107118768132_7042,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577291_6071,NSR:Quay:72888,ATB:ServiceJourney:82_241107118801533_6073,1
NSR:Quay:80251,ATB:ServiceJourney:660_241021121641713_11,NSR:Quay:79493,ATB:ServiceJourney:763_241205091486450_9,1
NSR:Quay:72888,ATB:ServiceJourney:71_250203085376205_6031,NSR:Quay:72888,ATB:ServiceJourney:82_250203085181950_6034,1
NSR:Quay:73193,ATB:ServiceJourney:480_241021121639392_6001,NSR:Quay:73193,ATB:ServiceJourney:440_250406121699897_6003,1
NSR:Quay:74982,ATB:ServiceJourney:1_240516085577434_7019,NSR:Quay:74982,ATB:ServiceJourney:41_240912065856121_7004,1
NSR:Quay:72946,ATB:ServiceJourney:1_250113084167278_50,NSR:Quay:72946,ATB:ServiceJourney:46_250113084171463_22,1
NSR:Quay:74803,ATB:ServiceJourney:310_241021121639170_38,NSR:Quay:74803,ATB:ServiceJourney:460_241021121640090_12,1
NSR:Quay:77705,ATB:ServiceJourney:7315_241205091488092_2,NSR:Quay:78378,ATB:ServiceJourney:7306_241205091486635_2,1
